code: signature, description: Cordialement
code: addressFrom, description: interlibraryloans@cunet.carleton.ca
code: header, description: Madame, Monsieur
code: item_reported_lost, description: Nous souhaitons vous informer que l'exemplaire de la demande PEB suivante a été signalé comme étant perdu.
code: letterName, description: Signalement d'un Exemplaire PEB perdu
code: subject, description: Signalement d'un Exemplaire PEB perdu (%reqId%)
code: Bcc, description: Aucun
code: Cc, description: Aucun
code: additional_person_name, description: Nom supplémentaire
code: article_or_chapter_title, description: Titre de l'article\\du chapitre
code: author, description: Auteur
code: author_initials, description: Initiales de l'auteur
code: call_number, description: Cote de rangement
code: chapter, description: Chapitre
code: date, description: Date
code: desired_due_date, description: Échéance souhaitée
code: doi, description: DOI
code: edition, description: Édition
code: end_page, description: Page de fin
code: format, description: Format
code: isbn, description: ISBN
code: issn, description: ISSN
code: issue, description: Fascicule
code: journal_title, description: Titre de journal
code: maximum_fee, description: Frais maximum
code: note, description: Note
code: note_to_partner, description: Note au partenaire
code: original_due_date, description: Date de retour d'origine
code: pages, description: Pages
code: part, description: Partie
code: partner_address, description: Adresse du partenaire
code: partner_email, description: Adresse électronique du partenaire
code: place_of_publication, description: Lieu de publication
code: pmid, description: PMID
code: publication_date, description: Date de publication
code: publisher, description: Éditeur
code: receiving_date, description: Date de réception
code: request_format, description: Format de la demande
code: request_id, description: Identifiant de la demande
code: request_note, description: Note de demande
code: requested_by, description: Ce qui suit est requis par
code: series_title_number, description: Numéro de collection
code: source, description: Source
code: start_page, description: Page de début
code: title, description: Titre
code: volume, description: Volume
code: year, description: Année
